	file_name	misogynous	SVM PROB 1	KNN PROB 1	NB PROB 1	DT PROB 1	MLP PROB 1
0	belong_19	1	0.6218485070432076	0.5507246376811594	0.6191765851251737	0.6192239221858149	0.506714201239854
1	belong_21	1	0.7338419782851824	0.8260869565217391	0.7930087251004012	0.768407238129188	0.629406501483082
2	belong_26	1	0.6947863732289051	0.650103519668737	0.7579580842371955	0.5501943634596695	0.5161059133085532
3	belong_30	1	0.612307091530963	0.6956521739130435	0.7315704890603575	0.5409116448939457	0.8555413520024528
4	belong_31	0	0.30924335423554095	0.5031055900621118	0.31922379550560753	0.28368481968305104	0.28088839927519527
5	belong_43	0	0.4900940406466856	0.38819875776397506	0.16778679577696695	0.28368481968305104	0.6204811038104279
6	belong_44	0	0.5268498475449057	0.4989648033126294	0.24004477774808	0.5276455109328989	0.7396005663345823
7	belong_48	0	0.30168107765484053	0.520703933747412	0.06758982965634626	0.5276455109328989	0.7849147454377814
8	blonde_2	1	0.8567627316289086	0.8633540372670807	0.9124897313249869	0.7502768549280177	0.962291992303677
9	blonde_7	0	0.2543049977562491	0.6480331262939959	0.560601551618259	0.2957036432767456	0.6263783525502866
10	chick_0	0	0.48097393640637354	0.48757763975155277	0.5386307601728167	0.4449823101931535	0.5560753500430449
11	chick_1	1	0.8953406026203802	0.7246376811594203	0.9894869196043066	0.8929072652392926	0.9725406702207168
12	chick_4	1	0.9102212874686457	0.8892339544513458	0.9375756363524859	0.7502768549280177	0.9852596146715872
13	chick_5	1	0.8955781142802992	0.9109730848861284	0.9419618235675999	0.7559124548920467	0.9861880749727763
14	chick_6	1	0.7751777015487455	0.6573498964803313	0.8404004403402425	0.6356667497175487	0.7924539384644695
15	chick_8	0	0.4868248626192477	0.5527950310559007	0.5106460678069112	0.6331826666946326	0.44637865616260985
16	chick_9	0	0.5466176548462942	0.5372670807453416	0.517347087254943	0.5921532918031249	0.4978917492573165
17	chloroform_10	1	0.5231289088589172	0.6697722567287785	0.1922083135943269	0.44946675360323185	0.5081677777751761
