SCORE 0 SVM	SCORE 1 SVM	SCORE 0 KNN	SCORE 1 KNN	SCORE 0 NB	SCORE 1 NB	SCORE 0 DT	SCORE 1 DT	SCORE 0 MLP	SCORE 1 MLP
0.688421052631579	0.718095238095238	0.6708074534161491	0.6924564796905223	0.6486486486486486	0.6976744186046512	0.645083932853717	0.7461406518010293	0.6721311475409837	0.6875
0.66811515480717	0.7169986104678093	0.6525871172122493	0.6875593542260209	0.647964796479648	0.7066911090742439	0.619221411192214	0.734295415959253	0.6567622950819673	0.6728515625
0.6695187165775401	0.7098591549295774	0.6576294751477233	0.6845981428113992	0.6610787172011662	0.7143734643734644	0.6305655836341757	0.737382378100941	0.6625472021970478	0.6815678652413346
0.673015873015873	0.7071090047393365	0.6637373998449211	0.6850641491164368	0.6663069867817643	0.711856510598649	0.6352729454109178	0.7393913416202315	0.6625514403292181	0.680933852140078
0.6697972251867663	0.7089369708372529	0.6638778498222129	0.6920866066296225	0.6597222222222222	0.7091988130563798	0.630529897909577	0.7417601087325857	0.6578128242373937	0.6817216753522486
0.6742998062356879	0.7075755179503399	0.6710549107916162	0.695037738879075	0.6620988099531193	0.7096374341493648	0.6353224834237492	0.7415634344297309	0.6632320109908981	0.6825319734498948
0.6710127349909035	0.7069151809832522	0.6687527939204291	0.6950198929894361	0.6610748679714197	0.7114519968262365	0.6319805757891087	0.7422880738401748	0.6612522150029535	0.68262313226342
0.6715984147952444	0.7051008303677343	0.6703780424650441	0.6923634606089899	0.6610810810810811	0.7083720930232558	0.6311970979443773	0.7399829497016198	0.6630920464700625	0.6768703318231908
0.6710603742497352	0.7058823529411765	0.669435790931118	0.6930247508839601	0.6603887480381505	0.7105073582381394	0.6287409005122674	0.7397467397467398	0.6621206955335834	0.676882947505706
0.6690723837826363	0.7052372849309888	0.6688858836991575	0.6935592567632618	0.6583959081510502	0.7096475811673295	0.6245280720984047	0.7384850284163204	0.6600491199345067	0.67520531873289
